,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestCOneThirtyCSeventeen
137,97,ID,"PANGKAL BALAM, BANKA",,,,,,- 2 5 53 S ,106 8 17 E,-2.098055555555556,106.13333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Palembang Airport
138,96,ID,"PANGKALAN SUSU, SUMATRA",,,,,, 4 12 30 N ,98 14 56 E,4.2,98.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Kualanamu International Airport
139,177,ID,PANGKALANSUSU,,,,,,4 7 N,98 13 E,4.116666666666666,98.21666666666668,,,,174.0,,,Yes,Very Small,Fair,over 500 feet,Coastal Natural,,,Yes,No,Yes,,16 - 20 ft,0.0,16 - 20 ft,71 - 75 ft,Yes,Yes,Yes,No,Yes,,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,No,No,No,No,Limited,,Up to 656 ft,Kualanamu International Airport
140,166,ID,PANGKALPINANG,,,,,,-2 7 S,106 8 E,-2.1166666666666667,106.13333333333334,,,Yes,163.0,71420,No,Yes,Very Small,Good,less than 500 feet,Open Roadstead,,Yes,Yes,Yes,No,6 - 10 ft,,3.0,,,No,Yes,Yes,,Yes,,Yes,,,,,Yes,,Yes,,Yes,,Yes,,,,Limited,,,Palembang Airport
141,98,ID,PANJANG, Indonesia Port Corp II ,Panjang Indonesia, 62 21 435 1226 , 62 21 435 1225 ,,- 5 27 0 S ,105 17 60 E,-5.45,105.28333333333332, Seaport , Small ,Yes,163.0,71180,No,Yes, Small , Good , Over 500 feet in length , Coastal Natural ,,,Yes,Yes,No,36 - 40 ft,26 - 30 ft,3.0,21 - 25 ft,16 - 20 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,No,Yes,No,,Yes,, Limited ,Up to 200 tons,Up to 656 ft,Jakarta International Soekarno Hatta Airport
142,99,ID,PANTOLOAN,,,,,,- 0 42 53 S ,119 51 30 E,-0.7147222222222221,119.85,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Tanjung Santan Airport
143,223,ID,PAREPARE,,,,,,-4 0 S,119 37 E,-4.0,119.61666666666666,,,,163.0,,,Yes,Very Small,Good,less than 500 feet,Open Roadstead,,Yes,,,,46 - 51 ft,46 - 51 ft,1.0,66 - 70 ft,26 - 30 ft,No,Yes,Yes,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Limited,,,Makassar Sultan Hasanuddin Airport
144,229,ID,PATANI,,,,,,0 22 N,128 45 E,0.3666666666666665,128.75,,,,164.0,73016,,,Very Small,Fair,less than 500 feet,Coastal Natural,,,,,,,0 - 5 ft,1.0,76 - over ft,,,,,,,,,,,,,,,,,,,,,,,,,,Domine Eduard Osok Airport
145,186,ID,PEKALONGAN,,,,,,-6 51 S,109 42 E,-6.85,109.7,,,Yes,163.0,72028,,Yes,Very Small,Fair,less than 500 feet,Open Roadstead,,,Yes,,Yes,,,2.0,21 - 25 ft,,,,,,,Yes,,,,,,Yes,,Yes,,Yes,Yes,,,Yes,,Limited,,,Cakrabhuwana Airport
146,100,ID,PEKANBARU,,,,,, 1 0 6 N ,102 6 47 E,1.0,102.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sultan Syarif Kasim II Airport
