,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,0,FJ,LAMBASA,,,,,,- 16 25 59 S ,179 13 59 E,-16.433055555555562,179.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Labasa Airport
1,1,FJ,LAUTOKA, Fiji Port corporation Limited ,P. O. Box 132 Lautoka Fiji, 679 6662160 , 679 6665799 ,,- 17 37 33 S ,177 27 43 E,-17.625833333333333,177.45," Pier, Jetty or Wharf ", Very Small ,Yes,,,Yes,Yes, Very Small , Fair , Over 500 feet in length , Coastal Natural ,,Yes,No,No,No,26 - 30 ft,21 - 25 ft,2.0,41 - 45 ft,26 - 30 ft,No,Yes,Yes,No,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,,Up to 656 ft,Nadi International Airport
2,2,FJ,LEVUKA, Fiji Port corporation Limited ,P. O. Box 88 Levuka Fiji, 679 3440189 , 679 3440261 ,,- 17 40 31 S ,178 49 50 E,-17.675277777777787,178.81666666666663, Harbor , Small ,Yes,126.0,83570.0,Yes,Yes, Small , Good , Over 500 feet in length , Coastal Natural ,,Yes,No,No,No,61 - 65 ft,21 - 25 ft,1.0,76 - over ft,21 - 25 ft,Yes,Yes,Yes,No,Yes,,Yes,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,,Up to 656 ft,Bureta Airport
3,5,FJ,MALAI,,,,,,-16 21 S,179 22 E,-16.35,179.36666666666667,,,,126.0,83590.0,Yes,Yes,Very Small,Good,,Coastal Breakwater,,Yes,,,,31 - 35 ft,36 - 40 ft,2.0,51 - 55 ft,36 - 40 ft,Yes,Yes,Yes,No,Yes,,Yes,,,,Yes,Yes,,,,,Yes,No,,No,,Limited,,,Labasa Airport
4,3,FJ,SAVU SAVU, Fiji Port corporation Limited ,"G. P. O Box 780 Kaunikula House, Flagstaff Suva Fiji", 679 3312700 , 679 3315549 ,,- 16 49 0 S ,179 18 0 E,-16.816666666666666,179.3," Pier, Jetty or Wharf ", Very Small ,Yes,,,,Yes, Very Small , Good , Up to 500 feet in length , Coastal Natural ,,Yes,No,No,No, 6 - 10 feet 1.8 - 3 meters ,16 - 20 ft,1.0,76 - over ft,,Yes,,,,Yes,,Yes,,,,,,,,,Yes,Yes,No,No,Yes,No, Emergency Only ,,,Savusavu Airport
5,6,FJ,SAVUSAVU BAY,,,,,,-16 46 S,179 20 E,-16.766666666666666,179.33333333333337,,,Yes,126.0,83590.0,,Yes,Very Small,Fair,less than 500 feet,Open Roadstead,,Yes,No,No,No,6 - 10 ft,16 - 20 ft,1.0,76 - over ft,,Yes,Yes,,,Yes,,Yes,,,,,,,,,Yes,Yes,No,No,,No,Emergency only,,,Savusavu Airport
6,4,FJ,SUVA, Fiji Port corporation Limited ,"G. P. O Box 780 Kaunikula House, Flagstaff Suva Fiji", 679 3312700 , 679 3315549 ,,- 18 7 0 S ,178 25 0 E,-18.116666666666667,178.41666666666663, Seaport , Medium ,Yes,,,,Yes, Small , Good , Over 500 feet in length , Coastal Natural ,Yes,Yes,No,No,No,76 - over ft,41 - 45 ft,2.0, 56 - 60 feet 17.1 - 18.2 meters ,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,"201 to 1,000 tons",Up to 656 ft,Nausori International Airport
