,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,0,NR,NAURU,,,,,,- 0 31 59 S ,166 55 0 E,-0.5330555555555556,166.91666666666666,,,Yes,126.0,81012.0,No,Yes,Very Small,Fair,less than 500 feet,Open Roadstead,,,No,Yes,Yes,76 - over ft,76 - over ft,1.0,,76 - over ft,Yes,Yes,No,No,Yes,1.0,,Yes,,,,,,,,Yes,,Yes,No,,,Limited,,,Nauru International Airport
1,1,NR,YAREN,,,,,,- 0 19 11 S ,166 33 0 E,-0.3197222222222222,166.55,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Nauru International Airport
