,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,TV,FUNAFUTI,,,,,,- 8 31 17 S ,179 11 55 E,-8.52138888888889,179.18333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Funafuti International Airport
1,TV,FUNAFUTI ATOLL,,,,,,-8 31 S,179 8 E,-8.516666666666667,179.13333333333333,,,Yes,126.0,83094.0,No,Yes,Very Small,Good,less than 500 feet,Coastal Natural,,Yes,Yes,No,Yes,16 - 20 ft,16 - 20 ft,4.0,41 - 45 ft,26 - 30 ft,Yes,Yes,No,No,Yes,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,Yes,Yes,Limited,,,Funafuti International Airport
