,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,3,KH,KAMPONG SAOM,,,,,,10 38 N,103 30 E,10.633333333333333,103.5,,,Yes,161.0,93283.0,No,Yes,Medium,Good,less than 500 feet,Coastal Breakwater,Yes,Yes,No,,Yes,26 - 30 ft,41 - 45 ft,1.0,41 - 45 ft,31 - 35 ft,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,,Yes,,,Yes,,Yes,,Yes,,Limited,Up to 200 tons,,Sihanouk International Airport
1,0,KH,KOMPONG SOM,,,,,, 10 37 59 N ,103 30 0 E,10.616666666666667,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sihanouk International Airport
2,1,KH,PHNOM PENH,,,,,, 0 0 0 N ,0 0 0 E,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koh Kong Airport
3,4,KH,PHSAR REAM,,,,,,10 30 N,103 36 E,10.5,103.6,,,Yes,161.0,93284.0,No,,Very Small,Fair,less than 500 feet,Coastal Natural,,,No,,Yes,16 - 20 ft,11 - 15 ft,0.0,36 - 40 ft,,,,,,,Yes,,,,,,,,,,,,,,Yes,,Emergency only,,,Sihanouk International Airport
4,2,KH,SIHANOUKVILLE,,,,,, 10 36 28 N ,103 31 27 E,10.6,103.51666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sihanouk International Airport
