,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
34,CN,ZSJN,Jinan Yaoqiang Airport,N36.51.50',E117.12.90',36.85,117.2, Public,11811 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSJN
35,CN,ZWSH,Kashi Kashi Airport,N39.32.70',E76.1.30',39.53333333333333,76.01666666666667, Public,10499 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZWSH
36,CN,RCBS,Kinmen Airport,N24.25.73',E118.21.67',24.41666666666667,118.35, Public,9856 x 148feet,Hard,,,,,,,https://www.getmetar.com/RCBS
37,CN,ZPPP,Kunming Changshui Airport,N25.6.30',E102.56.50',25.1,102.93333333333334, Public,14764 x 197feet,Hard,13123 x 148feet,Unknown,,,,,https://www.getmetar.com/ZPPP
38,CN,ZWKC,Kuqa Qiuci Airport,N41.40.60',E82.52.30',41.66666666666666,82.86666666666666, Public,,,,,,,,,https://www.getmetar.com/ZWKC
39,CN,ZLLL,Lanzhou Zhongchuan Airport,N36.30.90',E103.37.20',36.5,103.61666666666666, Public,11811 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZLLL
40,CN,ZULS,Lhasa Gonggar Airport,N29.17.80',E90.54.70',29.28333333333333,90.9, Public,13123 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZULS
41,CN,ZPLJ,Lijiang Sanyi Airport,N26.40.70',E100.14.80',26.66666666666667,100.23333333333332, Public,,,,,,,,,https://www.getmetar.com/ZPLJ
42,CN,ZSLY,Linyi Qiyang Airport,N35.2.90',E118.24.80',35.03333333333333,118.4, Public,,,,,,,,,https://www.getmetar.com/ZSLY
43,CN,VMMC,Macao International Airport,N22.8.97',E113.35.48',22.13333333333333,113.58333333333331, Public,11024 x 148feet,Hard,,,,,,,https://www.getmetar.com/VMMC
44,CN,ZBMZ,Manzhouli Xijiao Airport,N49.33.90',E117.20.00',49.55,117.33333333333331, Public,9186 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZBMZ
45,CN,RCFG,Matsu Nangan Airport,N26.9.58',E119.57.50',26.15,119.95, Public,5180 x 98feet,Hard,,,,,,,https://www.getmetar.com/RCFG
46,CN,ZGMX,Meizhou Meixian Airport,N24.16.00',E116.5.90',24.266666666666666,116.08333333333331, Public,,,,,,,,,https://www.getmetar.com/ZGMX
47,CN,ZYMD,Mudanjiang Hailang Airport,N44.31.40',E129.34.20',44.51666666666666,129.56666666666666, Public,8530 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZYMD
48,CN,ZSCN,Nanchang Changbei Airport,N28.51.80',E115.54.00',28.85,115.9, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSCN
49,CN,ZSNJ,Nanjing Lukou Airport,N31.44.60',E118.51.80',31.73333333333333,118.85, Public,11812 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSNJ
50,CN,ZGNN,Nanning Wuxu Airport,N22.36.60',E108.10.40',22.6,108.16666666666669, Public,10499 x 197feet,Hard,,,,,,,https://www.getmetar.com/ZGNN
51,CN,ZSNT,Nantong Xingdong Airport,N32.4.10',E120.58.90',32.06666666666667,120.96666666666668, Public,,,,,,,,,https://www.getmetar.com/ZSNT
52,CN,ZSNB,Ningbo Lishe Airport,N29.49.60',E121.27.80',29.816666666666666,121.45, Public,10499 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSNB
53,CN,ZBDS,Ordos Ejin Horo Airport,N39.29.40',E109.51.90',39.48333333333333,109.85, Public,,,,,,,,,https://www.getmetar.com/ZBDS
54,CN,ZSQD,Qingdao Jiaodong Airport,N36.21.90',E120.5.90',36.35,120.08333333333331, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSQD
55,CN,ZBDH,Qinhuangdao Beidaihe Airport,N39.39.90',E119.3.60',39.65,119.05, Public,,,,,,,,,https://www.getmetar.com/ZBDH
56,CN,ZJQH,Qionghai Boao Airport,N19.8.30',E110.27.20',19.133333333333333,110.45, Public,,,,,,,,,https://www.getmetar.com/ZJQH
57,CN,ZYQQ,Qiqihar Sanjiazi Airport,N47.14.30',E123.55.00',47.23333333333333,123.91666666666669, Public,8516 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZYQQ
58,CN,ZSQZ,Quanzhou Jinjiang Airport,N24.47.90',E118.35.30',24.78333333333333,118.58333333333331, Public,8530 x 164feet,Hard,,,,,,,https://www.getmetar.com/ZSQZ
59,CN,ZJSY,Sanya Phoenix Airport,N18.18.10',E109.24.80',18.3,109.4, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZJSY
60,CN,ZSSS,Shanghai Hongqiao Airport,N31.11.80',E121.20.10',31.18333333333333,121.33333333333331, Public,11155 x 148feet,Hard,10827 x 197feet,Unknown,,,,,https://www.getmetar.com/ZSSS
61,CN,ZSPD,Shanghai Pudong Airport,N31.8.70',E121.47.60',31.13333333333333,121.78333333333332, Public,13124 x 197feet,Hard,12467 x 197feet,Unknown,11155 x 197feet,Unknown,,,https://www.getmetar.com/ZSPD
