,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
39,39,PK,OPSR,Sargodha Airport,N32.3.00',E72.40.00',32.05,72.66666666666667, Public,,,,,,,,,No,https://www.getmetar.com/OPSR
40,40,PK,OPSW,Sawan Airport,N26.57.95',E68.52.85',26.95,68.86666666666666,Private,,,,,,,,,No,https://www.getmetar.com/OPSW
41,41,PK,OPJA,Shahbaz Airport,N28.17.05',E68.26.98',28.28333333333333,68.43333333333334, Public,10086 x 148feet,Hard,10040 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/OPJA
42,42,PK,OPRQ,Shorkot Airport,N30.46.00',E72.17.00',30.766666666666666,72.28333333333333, Public,,,,,,,,,No,https://www.getmetar.com/OPRQ
43,43,PK,OPST,Sialkot International Airport,N32.32.14',E74.21.83',32.53333333333333,74.35, Public,11811 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPST
44,44,PK,OPSB,Sibi Airport,N29.34.48',E67.50.58',29.566666666666666,67.83333333333333, Public,,,,,,,,,No,https://www.getmetar.com/OPSB
45,45,PK,OPSD,Skardu Airport,N35.20.37',E75.32.48',35.333333333333336,75.53333333333333, Public,11944 x 98feet,Hard,6499 x 98feet,Unknown,,,,,Yes,https://www.getmetar.com/OPSD
46,46,PK,OPSU,Sui Airport,N28.38.71',E69.10.62',28.63333333333333,69.16666666666667,Private,6000 x 100feet,Hard,4975 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/OPSU
47,47,PK,OPTA,Tarbela Dam Airport,N33.59.50',E72.36.50',33.98333333333333,72.6, Public,5600 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPTA
48,48,PK,OPTU,Turbat International Airport,N25.59.18',E63.1.81',25.98333333333333,63.01666666666666, Public,6001 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPTU
49,49,PK,OPZM,Zamzama Airport,N26.44.03',E67.40.08',26.73333333333333,67.66666666666667,Private,,,,,,,,,No,https://www.getmetar.com/OPZM
50,50,PK,OPZB,Zhob Airport,N31.21.50',E69.27.83',31.35,69.45, Public,6001 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPZB
